id,started_at,ended_at,ai_tool,participant_id,task_id
83,2025-08-11 21:13:48.363652+00,,GPT-4o,17,3
84,2025-08-11 21:13:59.719171+00,,GPT-4o,17,5
85,2025-08-11 21:14:36.324804+00,,GPT-4o,17,5
86,2025-08-11 21:20:00.424181+00,2025-08-11 21:20:10.439462+00,GPT-4o,18,1
87,2025-08-11 21:22:01.346584+00,,GPT-4o,18,1
88,2025-08-11 21:22:19.707893+00,,GPT-4o,18,1
89,2025-08-11 21:23:16.709049+00,,GPT-4o,18,1
90,2025-08-11 21:24:11.946491+00,,GPT-4o,18,1
91,2025-08-11 22:28:17.513174+00,2025-08-11 22:29:52.32967+00,GPT-4o,21,3
92,2025-08-11 22:28:59.346735+00,,GPT-4o,21,3
93,2025-08-11 22:32:31.765619+00,2025-08-11 22:32:44.405534+00,GPT-4o,21,4
94,2025-08-11 22:37:00.182042+00,2025-08-11 22:37:15.254719+00,GPT-4o,21,5
95,2025-08-11 22:37:14.93628+00,,GPT-4o,21,5
96,2025-08-11 22:38:05.667001+00,2025-08-11 22:38:07.347304+00,GPT-4o,21,6
97,2025-08-11 22:39:05.784177+00,2025-08-11 22:39:07.712404+00,GPT-4o,21,9
98,2025-08-11 22:40:02.319502+00,2025-08-11 22:40:06.46101+00,GPT-4o,21,10
99,2025-08-11 22:41:22.52873+00,2025-08-11 22:41:24.979249+00,GPT-4o,21,11
100,2025-08-11 22:43:54.345196+00,2025-08-11 22:43:58.650108+00,GPT-4o,21,12
101,2025-08-11 22:44:33.908317+00,,GPT-4o,21,13
102,2025-08-11 22:46:47.692497+00,2025-08-11 22:46:50.348073+00,GPT-4o,22,13
103,2025-08-12 02:55:22.685622+00,2025-08-12 02:55:32.305415+00,GPT-4o,23,1
104,2025-08-12 02:57:12.627158+00,,GPT-4o,23,1
105,2025-08-12 02:58:06.823152+00,,GPT-4o,23,1
106,2025-08-12 02:58:54.994591+00,,GPT-4o,23,1
107,2025-08-12 02:59:49.11223+00,,GPT-4o,23,1
108,2025-08-12 08:06:37.932432+00,2025-08-12 08:11:25.438759+00,GPT-4o,24,1
109,2025-08-12 08:07:21.634228+00,,GPT-4o,24,1
110,2025-08-12 08:09:33.292372+00,,GPT-4o,24,1
111,2025-08-12 08:18:38.474755+00,2025-08-12 08:21:47.211783+00,GPT-4o,24,2
112,2025-08-12 08:20:09.535234+00,2025-08-12 08:20:14.770976+00,GPT-4o,25,1
113,2025-08-12 08:22:24.922182+00,,GPT-4o,25,1
114,2025-08-12 08:22:39.093249+00,2025-08-12 08:24:08.131783+00,GPT-4o,24,3
115,2025-08-12 08:23:57.116869+00,,GPT-4o,25,1
116,2025-08-12 08:24:01.533062+00,,GPT-4o,24,3
117,2025-08-12 08:24:54.10434+00,,GPT-4o,25,1
118,2025-08-12 08:25:21.977463+00,2025-08-12 08:25:23.941702+00,GPT-4o,24,4
119,2025-08-12 08:25:47.139032+00,,GPT-4o,25,1
120,2025-08-12 08:26:18.233409+00,2025-08-12 08:28:48.034176+00,GPT-4o,24,5
121,2025-08-12 08:29:35.660573+00,2025-08-12 08:32:10.483502+00,GPT-4o,24,6
122,2025-08-12 08:34:07.385745+00,2025-08-12 08:36:01.373157+00,GPT-4o,24,9
123,2025-08-12 08:34:36.642688+00,,GPT-4o,24,9
124,2025-08-12 08:36:53.448288+00,2025-08-12 08:40:22.383519+00,GPT-4o,24,10
125,2025-08-12 08:38:50.537305+00,,GPT-4o,24,10
126,2025-08-12 08:42:36.220481+00,2025-08-12 08:44:12.655438+00,GPT-4o,24,11
127,2025-08-12 08:45:00.303328+00,2025-08-12 08:45:19.599557+00,GPT-4o,24,12
128,2025-08-12 08:45:12.614209+00,,GPT-4o,24,12
129,2025-08-12 08:45:18.280711+00,,GPT-4o,24,12
130,2025-08-12 08:46:32.339222+00,2025-08-12 08:46:57.586228+00,GPT-4o,24,13
131,2025-08-12 10:18:10.240461+00,2025-08-12 10:21:38.404808+00,GPT-4o,27,1
132,2025-08-12 10:19:48.101354+00,,GPT-4o,27,1
133,2025-08-12 10:20:48.009573+00,,GPT-4o,27,1
134,2025-08-12 10:21:32.442745+00,,GPT-4o,27,1
135,2025-08-12 10:21:49.665331+00,,GPT-4o,28,1
136,2025-08-12 10:21:57.86835+00,2025-08-12 10:21:59.57653+00,GPT-4o,29,1
137,2025-08-12 10:23:29.86147+00,,GPT-4o,28,1
138,2025-08-12 10:24:18.790511+00,2025-08-12 10:25:18.483618+00,GPT-4o,27,2
139,2025-08-12 10:25:12.957186+00,,GPT-4o,27,2
140,2025-08-12 10:25:32.537116+00,,GPT-4o,28,2
141,2025-08-12 10:27:31.282661+00,,GPT-4o,27,3
142,2025-08-12 10:30:46.680584+00,,GPT-4o,28,1
143,2025-08-12 10:33:03.80281+00,,GPT-4o,28,1
144,2025-08-12 10:33:47.333159+00,,GPT-4o,28,3
145,2025-08-12 10:35:30.594739+00,,GPT-4o,28,1
146,2025-08-12 10:35:52.320624+00,,GPT-4o,28,2
147,2025-08-12 10:38:50.255447+00,,GPT-4o,28,3
148,2025-08-12 10:45:55.778752+00,,GPT-4o,28,4
149,2025-08-12 10:50:38.684705+00,,GPT-4o,28,4
150,2025-08-12 10:55:05.109866+00,,GPT-4o,28,5
151,2025-08-12 10:59:31.361251+00,,GPT-4o,30,1
152,2025-08-12 10:59:51.70082+00,,GPT-4o,30,1
153,2025-08-12 11:00:29.388508+00,,GPT-4o,30,1
154,2025-08-12 11:08:11.372531+00,,GPT-4o,31,1
155,2025-08-12 11:08:34.924578+00,,GPT-4o,31,1
156,2025-08-12 11:08:57.095064+00,,GPT-4o,31,1
157,2025-08-12 11:09:26.046719+00,,GPT-4o,31,1
158,2025-08-12 11:09:49.516007+00,,GPT-4o,31,1
159,2025-08-12 11:10:48.854387+00,,GPT-4o,31,2
160,2025-08-12 11:15:04.317751+00,,GPT-4o,31,2
161,2025-08-12 11:15:33.739627+00,,GPT-4o,31,2
162,2025-08-12 11:16:32.754987+00,,GPT-4o,31,3
163,2025-08-12 11:16:53.281379+00,,GPT-4o,31,3
164,2025-08-12 11:17:11.252534+00,2025-08-12 11:26:15.139529+00,GPT-4o,32,1
165,2025-08-12 11:20:57.523371+00,,GPT-4o,32,1
166,2025-08-12 11:22:06.606457+00,,GPT-4o,32,1
167,2025-08-12 11:24:11.466318+00,,GPT-4o,32,1
168,2025-08-12 11:25:53.111418+00,,GPT-4o,32,1
169,2025-08-12 11:28:09.176555+00,2025-08-12 11:31:45.640218+00,GPT-4o,32,2
170,2025-08-12 11:28:43.79638+00,,GPT-4o,32,2
171,2025-08-12 11:29:36.191683+00,,GPT-4o,32,2
172,2025-08-12 11:30:50.53724+00,,GPT-4o,32,2
173,2025-08-12 11:31:40.266657+00,,GPT-4o,32,2
174,2025-08-12 11:35:44.518522+00,2025-08-12 11:35:59.047622+00,GPT-4o,33,1
175,2025-08-12 11:36:12.251752+00,2025-08-12 11:49:55.886881+00,GPT-4o,33,2
176,2025-08-12 11:37:07.399277+00,,GPT-4o,33,2
177,2025-08-12 11:37:49.436443+00,2025-08-12 11:43:23.818566+00,GPT-4o,32,3
178,2025-08-12 11:38:55.698803+00,2025-08-12 11:49:50.433614+00,GPT-4o,33,3
179,2025-08-12 11:39:35.712238+00,,GPT-4o,32,3
180,2025-08-12 11:40:31.138188+00,,GPT-4o,32,3
181,2025-08-12 11:42:06.973041+00,2025-08-12 11:49:52.920647+00,GPT-4o,33,4
182,2025-08-12 11:42:07.120168+00,2025-08-12 11:43:26.588187+00,GPT-4o,32,4
183,2025-08-12 11:43:26.653076+00,2025-08-12 11:47:10.404203+00,GPT-4o,32,5
184,2025-08-12 11:43:39.714389+00,2025-08-12 11:49:48.119079+00,GPT-4o,33,5
185,2025-08-12 11:44:48.44222+00,,GPT-4o,32,5
186,2025-08-12 11:45:22.743774+00,2025-08-12 11:49:44.243614+00,GPT-4o,33,6
187,2025-08-12 11:45:52.637893+00,2025-08-12 11:49:19.597798+00,GPT-4o,33,9
188,2025-08-12 11:46:04.425073+00,,GPT-4o,32,5
189,2025-08-12 11:46:41.308264+00,2025-08-12 11:49:40.288514+00,GPT-4o,33,10
190,2025-08-12 11:47:26.109816+00,2025-08-12 11:49:37.548521+00,GPT-4o,33,11
191,2025-08-12 11:47:56.576939+00,2025-08-12 11:49:28.7683+00,GPT-4o,33,12
192,2025-08-12 11:48:47.093443+00,2025-08-12 11:49:33.321978+00,GPT-4o,33,13
193,2025-08-12 11:50:48.686331+00,2025-08-12 11:52:58.016698+00,GPT-4o,32,6
194,2025-08-12 11:52:40.098278+00,,GPT-4o,32,6
195,2025-08-12 11:53:46.930589+00,2025-08-12 11:57:05.346962+00,GPT-4o,32,9
196,2025-08-12 11:55:45.287638+00,,GPT-4o,32,9
197,2025-08-12 11:56:51.267391+00,,GPT-4o,32,9
198,2025-08-12 11:57:29.409224+00,2025-08-12 12:02:06.678942+00,GPT-4o,32,10
199,2025-08-12 11:58:24.211356+00,,GPT-4o,32,10
200,2025-08-12 11:59:14.927333+00,,GPT-4o,32,10
201,2025-08-12 11:59:59.456517+00,,GPT-4o,32,10
202,2025-08-12 12:00:39.970517+00,,GPT-4o,32,10
203,2025-08-12 12:01:40.197917+00,,GPT-4o,32,10
204,2025-08-12 12:01:52.335871+00,,GPT-4o,32,10
205,2025-08-12 12:03:03.993813+00,2025-08-12 12:06:05.194032+00,GPT-4o,32,11
206,2025-08-12 12:04:58.153042+00,,GPT-4o,32,11
207,2025-08-12 12:06:02.736159+00,,GPT-4o,32,11
208,2025-08-12 12:07:43.485653+00,2025-08-12 12:10:15.273024+00,GPT-4o,32,12
209,2025-08-12 12:08:24.792212+00,,GPT-4o,32,12
210,2025-08-12 12:08:55.457563+00,,GPT-4o,32,12
211,2025-08-12 12:09:46.747936+00,,GPT-4o,32,12
212,2025-08-12 12:10:06.354467+00,,GPT-4o,32,12
213,2025-08-12 12:10:54.491668+00,2025-08-12 12:13:21.615867+00,GPT-4o,32,13
214,2025-08-12 12:11:46.022138+00,,GPT-4o,32,13
215,2025-08-12 12:12:52.900487+00,,GPT-4o,32,13
216,2025-08-12 21:13:02.282513+00,2025-08-12 21:13:19.824296+00,GPT-4o,38,1
217,2025-08-12 21:16:45.650858+00,2025-08-12 21:18:19.698861+00,GPT-4o,38,2
218,2025-08-13 18:16:26.963207+00,2025-08-13 18:16:30.912938+00,GPT-4o,41,1
219,2025-08-13 18:29:55.275719+00,,GPT-4o,41,1
220,2025-08-13 18:50:14.931347+00,2025-08-13 18:50:19.50105+00,GPT-4o,42,1
221,2025-08-13 21:47:08.302995+00,2025-08-13 21:52:47.935238+00,GPT-4o,43,1
222,2025-08-13 21:48:29.955902+00,,GPT-4o,43,1
223,2025-08-13 21:49:51.669828+00,,GPT-4o,43,1
224,2025-08-13 21:50:41.550387+00,,GPT-4o,43,1
225,2025-08-13 21:52:42.255087+00,,GPT-4o,43,1
226,2025-08-13 21:55:55.689428+00,2025-08-13 21:59:59.71544+00,GPT-4o,43,2
227,2025-08-13 21:56:38.745168+00,,GPT-4o,43,2
228,2025-08-13 21:58:39.961309+00,,GPT-4o,43,2
229,2025-08-13 21:59:52.78767+00,,GPT-4o,43,2
230,2025-08-13 22:18:21.436831+00,2025-08-13 22:21:21.31259+00,GPT-4o,43,3
231,2025-08-13 22:20:08.842478+00,,GPT-4o,43,3
232,2025-08-13 22:20:49.024492+00,,GPT-4o,43,3
233,2025-08-13 22:21:18.334414+00,,GPT-4o,43,3
234,2025-08-13 22:24:47.884328+00,2025-08-13 22:34:41.941719+00,GPT-4o,43,4
235,2025-08-13 22:27:30.815402+00,,GPT-4o,43,4
236,2025-08-13 22:28:49.72939+00,,GPT-4o,43,4
237,2025-08-13 22:30:14.877292+00,,GPT-4o,43,4
238,2025-08-13 22:34:04.806491+00,,GPT-4o,43,4
239,2025-08-13 22:42:52.254663+00,2025-08-13 22:54:10.1026+00,GPT-4o,43,5
240,2025-08-13 22:43:46.879284+00,,GPT-4o,43,5
241,2025-08-13 22:43:57.706665+00,,GPT-4o,43,5
242,2025-08-13 22:44:38.591996+00,,GPT-4o,43,5
243,2025-08-13 22:48:30.047835+00,,GPT-4o,43,5
244,2025-08-13 22:56:53.411749+00,,GPT-4o,43,6
245,2025-08-13 22:58:36.745925+00,,GPT-4o,43,6
246,2025-08-13 22:59:22.603017+00,,GPT-4o,43,6
247,2025-08-13 23:02:41.12551+00,,GPT-4o,43,6
248,2025-08-13 23:04:22.981167+00,,GPT-4o,43,6
249,2025-08-13 23:07:37.827421+00,,GPT-4o,43,11
250,2025-08-13 23:09:57.922954+00,,GPT-4o,43,11
251,2025-08-13 23:17:50.957318+00,,GPT-4o,43,11
252,2025-08-13 23:18:02.547774+00,,GPT-4o,43,11
253,2025-08-13 23:22:36.300151+00,,GPT-4o,43,12
254,2025-08-13 23:23:53.957275+00,,GPT-4o,43,12
255,2025-08-13 23:24:33.00743+00,,GPT-4o,43,12
256,2025-08-13 23:31:15.588999+00,2025-08-13 23:33:38.177057+00,GPT-4o,43,13
257,2025-08-13 23:31:44.825393+00,,GPT-4o,43,13
258,2025-08-13 23:32:13.789293+00,,GPT-4o,43,13
259,2025-08-13 23:33:16.3372+00,,GPT-4o,43,13
260,2025-08-14 07:59:31.487476+00,2025-08-14 08:12:16.22796+00,GPT-4o,46,4
261,2025-08-14 08:02:59.130559+00,2025-08-14 08:12:18.833195+00,GPT-4o,46,3
262,2025-08-14 08:04:27.744134+00,2025-08-14 08:12:13.312253+00,GPT-4o,46,5
263,2025-08-14 08:06:45.073269+00,2025-08-14 08:12:10.835938+00,GPT-4o,46,6
264,2025-08-14 08:07:27.920984+00,2025-08-14 08:12:08.358931+00,GPT-4o,46,9
265,2025-08-14 08:08:11.569751+00,2025-08-14 08:12:06.473605+00,GPT-4o,46,10
266,2025-08-14 08:10:05.473509+00,2025-08-14 08:12:04.659267+00,GPT-4o,46,11
267,2025-08-14 08:11:10.446578+00,2025-08-14 08:12:02.449625+00,GPT-4o,46,12
268,2025-08-14 08:11:54.441322+00,2025-08-14 08:11:56.730222+00,GPT-4o,46,13
269,2025-08-14 08:13:23.741859+00,2025-08-14 08:13:25.736826+00,GPT-4o,46,1
270,2025-08-14 08:14:12.376195+00,2025-08-14 08:14:13.903356+00,GPT-4o,46,2
271,2025-08-14 08:21:03.088442+00,2025-08-14 08:21:10.671216+00,GPT-4o,47,1
272,2025-08-14 08:22:24.679388+00,,GPT-4o,47,1
273,2025-08-14 08:23:04.556218+00,,GPT-4o,47,1
274,2025-08-14 08:23:44.327327+00,,GPT-4o,47,1
275,2025-08-14 08:24:56.22388+00,,GPT-4o,47,1
276,2025-08-14 08:26:48.437441+00,2025-08-14 08:27:48.137938+00,GPT-4o,47,2
277,2025-08-14 08:27:33.431256+00,,GPT-4o,47,2
278,2025-08-14 08:29:08.010152+00,2025-08-14 08:31:02.145219+00,GPT-4o,47,3
279,2025-08-14 08:30:24.977598+00,,GPT-4o,47,3
280,2025-08-14 08:31:34.453999+00,2025-08-14 08:32:16.323839+00,GPT-4o,47,4
281,2025-08-14 08:31:52.178571+00,,GPT-4o,47,4
282,2025-08-14 08:32:12.838985+00,,GPT-4o,47,4
283,2025-08-14 08:33:09.589869+00,2025-08-14 08:33:36.871537+00,GPT-4o,47,5
284,2025-08-14 08:34:12.307347+00,2025-08-14 08:37:37.517615+00,GPT-4o,47,6
285,2025-08-14 08:35:37.770357+00,,GPT-4o,47,6
286,2025-08-14 08:37:31.667822+00,,GPT-4o,47,6
287,2025-08-14 08:38:23.345956+00,2025-08-14 08:39:07.353575+00,GPT-4o,47,9
288,2025-08-14 08:39:39.178678+00,2025-08-14 08:43:51.195705+00,GPT-4o,47,10
289,2025-08-14 08:40:32.587021+00,,GPT-4o,47,10
290,2025-08-14 08:41:22.122085+00,,GPT-4o,47,10
291,2025-08-14 08:42:08.681652+00,,GPT-4o,47,10
292,2025-08-14 08:42:58.74076+00,,GPT-4o,47,10
293,2025-08-14 08:44:40.431835+00,2025-08-14 08:47:11.429908+00,GPT-4o,47,11
294,2025-08-14 08:45:51.915614+00,,GPT-4o,47,11
295,2025-08-14 08:47:46.440172+00,2025-08-14 08:50:15.305789+00,GPT-4o,47,12
296,2025-08-14 08:51:34.49247+00,2025-08-14 08:54:26.463012+00,GPT-4o,47,13
297,2025-08-14 08:52:08.22037+00,,GPT-4o,47,13
298,2025-08-14 14:17:33.160063+00,2025-08-14 14:21:02.768089+00,GPT-4o,49,1
299,2025-08-14 14:21:59.371574+00,,GPT-4o,49,1
300,2025-08-14 14:27:25.834148+00,,GPT-4o,49,1
301,2025-08-14 14:32:37.643979+00,,GPT-4o,49,1
302,2025-08-14 14:33:16.579322+00,,GPT-4o,49,1
303,2025-08-14 18:29:18.687707+00,2025-08-14 18:36:14.208801+00,GPT-4o,50,1
304,2025-08-14 18:31:08.914195+00,,GPT-4o,50,1
305,2025-08-14 18:33:40.19666+00,,GPT-4o,50,1
306,2025-08-14 18:34:37.789792+00,,GPT-4o,50,1
307,2025-08-14 18:35:46.122743+00,,GPT-4o,50,1
308,2025-08-14 18:38:08.647553+00,2025-08-14 18:38:19.608378+00,GPT-4o,50,2
309,2025-08-14 18:42:43.211055+00,2025-08-14 18:43:28.777445+00,GPT-4o,50,3
310,2025-08-14 18:43:24.751764+00,,GPT-4o,50,3
311,2025-08-14 18:46:18.447662+00,2025-08-14 18:46:35.560122+00,GPT-4o,50,4
312,2025-08-14 18:49:20.947264+00,2025-08-14 18:49:30.292671+00,GPT-4o,50,5
313,2025-08-14 18:52:40.649274+00,2025-08-14 18:52:50.268288+00,GPT-4o,50,6
314,2025-08-14 18:53:42.525396+00,2025-08-14 18:55:46.233995+00,GPT-4o,50,9
315,2025-08-14 18:54:17.474592+00,,GPT-4o,50,9
316,2025-08-14 18:55:35.9321+00,,GPT-4o,50,9
317,2025-08-14 18:56:47.548034+00,2025-08-14 19:04:41.675978+00,GPT-4o,50,10
318,2025-08-14 18:58:21.693603+00,,GPT-4o,50,10
319,2025-08-14 18:59:22.589393+00,,GPT-4o,50,10
320,2025-08-14 19:00:46.363614+00,,GPT-4o,50,10
321,2025-08-14 19:03:31.14905+00,,GPT-4o,50,10
322,2025-08-14 19:04:09.669762+00,,GPT-4o,50,10
323,2025-08-14 19:11:35.922408+00,2025-08-14 19:13:03.340082+00,GPT-4o,50,11
324,2025-08-14 19:12:51.056346+00,,GPT-4o,50,11
325,2025-08-14 19:16:46.42213+00,2025-08-14 19:23:56.531352+00,GPT-4o,50,12
326,2025-08-14 19:17:06.235028+00,,GPT-4o,50,12
327,2025-08-14 19:26:49.542946+00,2025-08-14 19:30:18.806825+00,GPT-4o,50,13
328,2025-08-14 19:29:09.332284+00,,GPT-4o,50,13
329,2025-08-14 19:29:39.397175+00,,GPT-4o,50,13
330,2025-08-14 19:30:02.467456+00,,GPT-4o,50,13
331,2025-08-14 19:30:16.772691+00,,GPT-4o,50,13
332,2025-08-15 08:58:47.153147+00,2025-08-15 08:58:52.587528+00,GPT-4o,51,1
333,2025-08-15 08:59:48.377241+00,2025-08-15 09:05:18.826287+00,GPT-4o,51,3
334,2025-08-15 09:00:43.642384+00,,GPT-4o,51,1
335,2025-08-15 09:01:32.802008+00,,GPT-4o,51,1
336,2025-08-15 09:02:15.211333+00,,GPT-4o,51,1
337,2025-08-15 09:03:03.29356+00,,GPT-4o,51,1
338,2025-08-15 09:03:41.066204+00,2025-08-15 09:04:25.558489+00,GPT-4o,51,2
339,2025-08-15 09:04:21.229335+00,,GPT-4o,51,2
340,2025-08-15 09:04:56.73308+00,,GPT-4o,51,3
341,2025-08-15 09:05:15.439085+00,,GPT-4o,51,3
342,2025-08-15 09:05:42.280612+00,2025-08-15 09:05:46.154617+00,GPT-4o,51,4
343,2025-08-15 09:05:56.789013+00,2025-08-15 09:05:57.704114+00,GPT-4o,51,5
344,2025-08-15 09:06:17.892034+00,2025-08-15 09:06:19.026465+00,GPT-4o,51,6
345,2025-08-15 09:06:48.546118+00,2025-08-15 09:06:50.624892+00,GPT-4o,51,9
346,2025-08-15 09:07:11.748849+00,2025-08-15 09:07:14.096987+00,GPT-4o,51,10
347,2025-08-15 09:07:28.577052+00,2025-08-15 09:07:29.528262+00,GPT-4o,51,11
348,2025-08-15 09:08:04.822509+00,2025-08-15 09:08:08.12836+00,GPT-4o,51,12
349,2025-08-15 09:08:22.295347+00,2025-08-15 09:08:24.135217+00,GPT-4o,51,13
